Block,Onset,Stimulus
008,4.9831,AknownVmeant
008,9.088033333,AmeantVdrive
008,13.19346667,meant_v
008,17.35206667,drive_v
008,21.32046667,known_a
008,25.54896667,known_av
008,29.66743333,AdriveVlast
008,33.77226667,AlastVknown
008,37.75156667,meant_a
008,41.96966667,drive_av
008,45.96783333,drive_a
008,50.04693333,last_a
008,54.28513333,meant_av
008,63.10846667,last_av
008,66.56043333,known_v
008,70.73233333,last_v
008,78.9027,last_v
008,83.0345,known_v
008,91.24483333,drive_av
008,95.32363333,AmeantVdrive
008,99.3422,drive_a
008,103.5869,meant_v
008,107.6927,drive_v
008,111.6703667,known_a
008,115.8759667,known_av
008,119.9056,last_a
008,124.1394,meant_av
008,128.2714333,last_av
008,136.4686,AdriveVlast
008,140.4588,meant_a
008,144.6653667,AknownVmeant
008,148.7438667,AlastVknown
008,152.8889667,meant_av
008,157.0074667,meant_v
008,161.1132,last_v
008,165.2045333,drive_v
008,173.3094667,meant_a
008,177.5469667,drive_av
008,181.6517667,known_av
008,185.7437667,known_v
008,189.7458,drive_a
008,197.9576,known_a
008,202.1780333,last_av
008,206.1782667,last_a
008,210.3879,AknownVmeant
008,214.4933,AdriveVlast
008,218.6385333,AlastVknown
008,222.7169667,AmeantVdrive
008,226.8091333,AknownVmeant
008,230.9407667,last_v
008,235.0597,meant_av
008,239.1511667,meant_v
008,247.2391333,last_a
008,251.4664333,AlastVknown
008,255.5848667,AdriveVlast
008,259.5622,known_a
008,267.7692333,meant_a
008,271.9924667,last_av
008,276.1109,drive_av
008,280.1058333,drive_a
008,284.2943,known_av
008,288.4528333,drive_v
008,292.5186667,AmeantVdrive
